id,title,status,rating,score,favorites,load_date,airing,aired_from,aired_to
36520,Pikotarou no Lullaby Lullaby,Finished Airing,G - All Ages,5.25,4,2022-03-11 20:04:03.766203,f,2017-07-17,2017-07-26
36521,Dies Irae: Irasshai Zonnenji,Finished Airing,PG-13 - Teens 13 or older,5.57,0,2022-03-11 20:04:03.865202,f,2017-06-28,2017-10-18
36522,Ling Qi 2,Finished Airing,PG-13 - Teens 13 or older,7.5,185,2022-03-11 20:04:04.068203,f,2018-02-23,2018-05-11
36524,Dies Irae: Reimei,Finished Airing,PG-13 - Teens 13 or older,5.34,12,2022-03-11 20:04:04.173207,f,2017-10-07,
36525,Dorei-ku The Animation,Finished Airing,R - 17+ (violence & profanity),5.95,67,2022-03-11 20:04:04.291211,f,2018-04-13,2018-06-29
36528,Kakyuusei (TV): Hajimemashite Tina!,Finished Airing,R+ - Mild Nudity,5.63,0,2022-03-11 20:04:04.427206,f,2000-03-24,
36529,The iDOLM@STER SideM: 315 Variety Pack! Made In Passion!,Finished Airing,PG-13 - Teens 13 or older,6.39,4,2022-03-11 20:04:04.529206,f,2018-06-27,
36530,Porong Porong Pororo 6,Finished Airing,G - All Ages,,0,2022-03-11 20:04:04.641207,f,2016-03-02,2016-05-26
36531,Shinkansen Henkei Robo Shinkalion The Animation,Finished Airing,PG - Children,6.78,22,2022-03-11 20:04:04.805222,f,2018-01-06,2019-06-29
36536,Starmyu 3rd Season,Finished Airing,PG-13 - Teens 13 or older,6.95,30,2022-03-11 20:04:04.91021,f,2019-07-01,2019-09-16
36537,Starmyu in Halloween,Finished Airing,None,6.98,12,2022-03-11 20:04:06.935976,f,2018-10-24,
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Finished Airing,PG-13 - Teens 13 or older,8.42,167,2022-03-11 20:04:07.360986,f,2018-09-29,
36539,Tsuki ga Kirei Special,Finished Airing,PG-13 - Teens 13 or older,7.27,27,2022-03-11 20:04:07.493991,f,2017-09-27,
36542,Boku wa Robot-goshi no Kimi ni Koi wo Suru,Finished Airing,PG-13 - Teens 13 or older,6.3,5,2022-03-11 20:04:07.659987,f,2017-10-21,
36543,GJ8man Soushuuhen,Currently Airing,G - All Ages,,0,2022-03-11 20:04:07.754981,t,2017-10-08,
36544,Heibai Wushang 2nd Season,Finished Airing,PG-13 - Teens 13 or older,6.4,4,2022-03-11 20:04:07.845981,f,2017-08-05,2017-10-14
36545,Huyao Xiao Hongniang: Qian Yan,Finished Airing,PG-13 - Teens 13 or older,7.4,8,2022-03-11 20:04:08.043987,f,2017-02-24,2017-06-02
36548,Kokkoku,Finished Airing,R - 17+ (violence & profanity),7.01,303,2022-03-11 20:04:08.169982,f,2018-01-08,2018-03-26
36549,Lalala Lala-chan,Finished Airing,G - All Ages,,0,2022-03-11 20:04:08.287982,f,2015-03-21,2016-02-26
36550,Lalala Lala-chan Mini,Finished Airing,G - All Ages,,0,2022-03-11 20:04:08.435981,f,2015-03-26,2016-02-11
36551,Lalala Lala-chan: Patapata Daisensou,Finished Airing,G - All Ages,,0,2022-03-11 20:04:08.531982,f,2016-10-21,2017-01-13
36552,Pikachin-Kit,Finished Airing,PG - Children,,1,2022-03-11 20:04:08.621981,f,2018-01-06,2020-03-28
36553,Yinhun x He Wei Dao,Finished Airing,G - All Ages,7.12,10,2022-03-11 20:04:08.778981,f,2017-08-29,2017-11-23
36556,Peace Maker Kurogane Movie 2: Yuumei,Finished Airing,R - 17+ (violence & profanity),6.48,9,2022-03-11 20:04:08.874988,f,2018-11-17,
36559,Zukkoke Sannin-gumi: Kusunoki Yashiki no Guruguru-sama,Finished Airing,PG - Children,,0,2022-03-11 20:04:08.982981,f,1995-11-11,
36560,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,Finished Airing,R+ - Mild Nudity,6.38,24,2022-03-11 20:04:09.149981,f,2018-03-26,
36561,Doupo Cangqiong Specials,Finished Airing,PG-13 - Teens 13 or older,7.49,15,2022-03-11 20:04:09.262986,f,2017-09-30,2017-10-07
36563,Megalo Box,Finished Airing,R - 17+ (violence & profanity),7.89,3002,2022-03-11 20:04:09.490366,f,2018-04-06,2018-06-29
36564,Kamiusagi Rope x Boruto: Naruto Next Generations,Finished Airing,G - All Ages,5.54,29,2022-03-11 20:04:09.759363,f,2017-10-12,
36565,Major 2nd (TV),Finished Airing,PG-13 - Teens 13 or older,7.42,75,2022-03-11 20:04:10.027428,f,2018-04-07,2018-09-22
36566,Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,Finished Airing,G - All Ages,6.77,2,2022-03-11 20:04:10.293061,f,2018-04-13,
36569,Nanatsu no Taizai: Tsumi no Kokuhaku Dennou Grimoire!,Finished Airing,PG-13 - Teens 13 or older,6.51,3,2022-03-11 20:04:10.44607,f,2016-09-30,2017-03-03
36571,Nanocore 3rd Season,Finished Airing,PG-13 - Teens 13 or older,,0,2022-03-11 20:04:10.581062,f,2017-08-02,2017-12-20
36572,Neko Neko Gong Show,Finished Airing,G - All Ages,,0,2022-03-11 20:04:10.716062,f,2015-08-13,2015-11-16
36573,dwarf Movie Lab,Finished Airing,G - All Ages,,0,2022-03-11 20:04:10.849063,f,2014-05-02,
36574,Weaving,Finished Airing,G - All Ages,,1,2022-03-11 20:04:12.600677,f,2017-08-15,
36575,"PLUG, THe NeW WORLD",Finished Airing,G - All Ages,,0,2022-03-11 20:04:12.704674,f,2011-07-30,
36577,Dungeon Meshi,Finished Airing,G - All Ages,5.88,1,2022-03-11 20:04:12.809674,f,2017-07-31,2019-09-04
36578,Monogatari no Aru Satou,Finished Airing,G - All Ages,5.98,0,2022-03-11 20:04:12.940674,f,2017-10-10,
36579,Fettu to Ccine to Gummi Seijin,Finished Airing,G - All Ages,,1,2022-03-11 20:04:13.074673,f,2015-03-01,
36580,Boku wa Shitteru yo.,Finished Airing,G - All Ages,5.54,0,2022-03-11 20:04:13.171674,f,2017-06-21,
36581,Peace Shitenchou,Finished Airing,G - All Ages,,0,2022-03-11 20:04:13.331526,f,2014-12-14,2015-02-13
